"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","f1","f2"
"1","query_1",TRUE,1.62223932550059e-86,4715,2025,715,0.353086419753086,0.151643690349947,"GO:0044271","GO:BP","cellular nitrogen compound biosynthetic process",26944,11312,0.212166172106825,0.000757405225036745
"2","query_1",TRUE,3.43826460847e-134,11561,2025,1401,0.691851851851852,0.121183288642851,"GO:0005737","GO:CC","cytoplasm",26995,309,0.206241719417047,0.00060565123178264
"3","query_1",TRUE,5.28394958425667e-45,6937,2019,849,0.420505200594354,0.122387199077411,"GO:0097159","GO:MF","organic cyclic compound binding",25063,9069,0.189593568557392,0.000611491062255048
"4","query_1",TRUE,2.19648301090741e-54,4105,2025,576,0.284444444444444,0.140316686967113,"GO:0005829","GO:CC","cytosol",26995,380,0.187928221859706,0.000700719271300619
"5","query_1",TRUE,2.49514513213872e-51,3963,2025,557,0.275061728395062,0.140550088316932,"GO:0018130","GO:BP","heterocycle biosynthetic process",26944,5424,0.186038744154977,0.00070185386444896
"6","query_1",TRUE,7.99987211574659e-51,4131,2025,572,0.282469135802469,0.138465262648269,"GO:1901362","GO:BP","organic cyclic compound biosynthetic process",26944,21928,0.185834957764782,0.000691478912613144
"7","query_1",TRUE,5.86432242491321e-51,3973,2025,557,0.275061728395062,0.140196325195067,"GO:0019438","GO:BP","aromatic compound biosynthetic process",26944,5983,0.185728576192064,0.000700089553645776
"8","query_1",TRUE,6.14115867046946e-38,6255,2019,763,0.377909856364537,0.121982414068745,"GO:0036094","GO:MF","small molecule binding",25063,5395,0.184433164128596,0.000609420295932259
"9","query_1",TRUE,1.31756426822533e-37,6018,2019,740,0.366518078256563,0.122964440013293,"GO:0043167","GO:MF","ion binding",25063,5721,0.18414831404753,0.00061430696005635
"10","query_1",TRUE,3.47968957857863e-49,3888,2025,544,0.268641975308642,0.139917695473251,"GO:0034654","GO:BP","nucleobase-containing compound biosynthetic process",26944,9009,0.184001352951125,0.000698678739424297
"11","query_1",TRUE,1.58715101628e-85,14435,2025,1502,0.741728395061728,0.104052649809491,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",26995,1883,0.182503037667072,0.000520080851450608
"12","query_1",TRUE,2.09149523859211e-128,17412,2025,1773,0.875555555555556,0.101826326671261,"GO:0005622","GO:CC","intracellular anatomical structure",26995,237,0.182435561043371,0.000508983647500834
"13","query_1",TRUE,9.50547700072294e-101,15836,2025,1628,0.803950617283951,0.102803738317757,"GO:0043229","GO:CC","intracellular organelle",26995,1881,0.182296623929231,0.000513854421065506
"14","query_1",TRUE,3.3642407335015e-88,14934,2025,1542,0.761481481481482,0.103254319003616,"GO:0043227","GO:CC","membrane-bounded organelle",26995,1879,0.181850344949584,0.000516096642610606
"15","query_1",TRUE,1.84658628392231e-47,3883,2025,536,0.264691358024691,0.138037599793974,"GO:0005654","GO:CC","nucleoplasm",26995,252,0.181448882870684,0.000689289331125721
"16","query_1",TRUE,1.66517440111218e-44,5229,2025,657,0.324444444444444,0.125645438898451,"GO:0051171","GO:BP","regulation of nitrogen compound metabolic process",26944,13995,0.181141439205955,0.000627619559376679
"17","query_1",TRUE,1.04049877284511e-99,16169,2025,1647,0.813333333333333,0.101861586987445,"GO:0043226","GO:CC","organelle",26995,1878,0.18104869737276,0.000509148520973009
"18","query_1",TRUE,8.46247600583803e-44,5407,2025,671,0.331358024691358,0.124098390974662,"GO:0080090","GO:BP","regulation of primary metabolic process",26944,18320,0.180570505920344,0.00061991154019378
